site_id,longitude,latitude,mean_power,distancia_m,profundidad_m,optimo
1030026,-12.5,31.5,42.66223158,295546.8013591741,-3365.0,0
1525100062,-1.89895,36.96721,2.475751917,583.467624182012,0.0,0
3060038,-7.0,43.583,27.65387286,3914.60502099853,-47.0,0
5008001,-8.833,35.333,44.97538384,231320.5901781854,-2903.0,0
1027017,-13.25,29.25,35.23665263,19399.696281142405,-679.0,1
2108096,2.0,38.0,11.29133374,103727.63729427822,-2473.0,0
2104122,1.667,40.167,9.830034757,111345.70842468222,-1571.0,0
1611410005,-0.9839,37.5966,2.543680643,2565.9091659621167,6.0,0
6004054,-6.433,36.65,8.668477896,3703.495016358034,-11.0,0
5002023,-9.333,37.167,48.00840762,41290.68075303926,-1042.0,0
4028012,-16.167,28.25,15.63301488,22700.447197178604,-1918.0,1
4032012,-15.833,28.25,27.09201854,17553.723595166586,-2628.0,1
423045029,-13.522,28.956,6.698178409,1772.1209796788294,-45.0,0
1012013,-17.0,28.25,27.70834512,14959.478318448188,-948.0,1
5018019,-8.0,36.833,13.95956754,20051.980712567754,-342.0,1
3056040,-7.167,43.667,32.59486372,16051.939360779648,-113.0,0
4007016,-17.917,28.583,11.11185024,795.6950478393786,-216.0,0
4037012,-15.417,28.25,31.91676386,8915.448505917902,-2229.0,1
2136119,4.333,39.917,14.02607537,2930.592007027741,-54.0,0
2070090,-1.167,37.5,5.346580589,5966.368004463381,-212.0,0
